timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
5142096426,5142096201,0.0,0.0,-0.001
5142100183,5142099947,0.0,0.0,-0.001
5142103930,5142103692,0.0,0.0,-0.001
5142111425,5142111183,0.0,0.0,-0.001
5142113915,5142113684,0.0,0.0,-0.001
5142121405,5142121170,0.0,0.0,-0.001
5142125157,5142124915,0.0,0.0,-0.001
5142131394,5142131158,0.0,0.0,-0.001
5142135141,5142134903,0.0,0.0,-0.001
5142143882,5142143642,0.0,0.0,-0.001
5142146376,5142146138,0.0,0.0,-0.001
5142148876,5142148636,0.0,0.0,-0.001
5142156379,5142156126,0.0,0.0,-0.001
5142160101,5142159876,0.0,0.0,-0.001
5142166345,5142166114,0.0,0.0,-0.001
5142170096,5142169859,0.0,0.0,-0.001
5142173834,5142173604,0.0,0.0,-0.001
5142181324,5142181095,0.0,0.0,-0.001
5142183834,5142183592,0.0,0.0,-0.001
5142191317,5142191083,0.0,0.0,-0.001
5142195062,5142194828,0.0,0.0,-0.001
5142201306,5142201070,0.0,0.0,-0.001
5142205050,5142204815,0.0,0.0,-0.001
5142213788,5142213554,0.0,0.0,-0.001
5142216316,5142216051,0.0,0.0,-0.001
5142220027,5142219797,0.0,0.0,-0.001
5142226271,5142226038,0.0,0.0,-0.001
5142230012,5142229784,0.0,0.0,-0.001
5142236266,5142236026,0.0,0.0,-0.001
5142240012,5142239771,0.0,0.0,-0.001
5142247543,5142247266,0.0,0.0,-0.001
5142251245,5142251007,0.0,0.0,-0.001
5142254982,5142254753,0.0,0.0,-0.001
5142261223,5142260995,0.0,0.0,-0.001
5142264984,5142264740,0.0,0.0,-0.001
5142273723,5142273484,0.0,0.0,-0.001
5142274962,5142274728,0.0,0.0,-0.001
5142282448,5142282218,0.0,0.0,-0.001
5142286190,5142285964,0.0,0.0,-0.001
5142289947,5142289709,0.0,0.0,-0.001
5142296185,5142295951,0.0,0.0,-0.001
5142299922,5142299696,0.0,0.0,-0.001
5142307427,5142307187,0.0,0.0,-0.001
5142309958,5142309684,0.0,0.0,-0.001
5142317417,5142317176,0.0,0.0,-0.001
5142321154,5142320921,0.0,0.0,-0.001
5142324907,5142324665,0.0,0.0,-0.001
5142331136,5142330908,0.0,0.0,-0.001
5142334891,5142334653,0.0,0.0,-0.001
5142343637,5142343402,0.0,0.0,-0.001
5142344870,5142344640,0.0,0.0,-0.001
5142353613,5142353380,0.0,0.0,-0.001
5142356111,5142355876,0.0,0.0,-0.001
5142359847,5142359621,0.0,0.0,-0.001
5142366095,5142365863,0.0,0.0,-0.001
5142369835,5142369610,0.0,0.0,-0.001
5142377328,5142377100,0.0,0.0,-0.001
5142379823,5142379597,0.0,0.0,-0.001
5142387319,5142387087,0.0,0.0,-0.001
5142391062,5142390832,0.0,0.0,-0.001
5142394807,5142394578,0.0,0.0,-0.001
5142401057,5142400820,0.0,0.0,-0.001
5142404816,5142404566,0.0,0.0,-0.001
5142413538,5142413304,0.0,0.0,-0.001
5142414784,5142414553,0.0,0.0,-0.001
5142422287,5142422043,0.0,0.0,-0.001
5142426018,5142425788,0.0,0.0,-0.001
5142429759,5142429534,0.0,0.0,-0.001
5142436008,5142435776,0.0,0.0,-0.001
5142439752,5142439521,0.0,0.0,-0.001
5142447274,5142447012,0.0,0.0,-0.001
5142450982,5142450757,0.0,0.0,-0.001
5142457234,5142457000,0.0,0.0,-0.001
5142460987,5142460745,0.0,0.0,-0.001
5142464729,5142464491,0.0,0.0,-0.001
5142470964,5142470732,0.0,0.0,-0.001
5142474709,5142474478,0.0,0.0,-0.001
5142483453,5142483217,0.0,0.0,-0.001
5142485949,5142485713,0.0,0.0,-0.001
5142493438,5142493204,0.0,0.0,-0.001
5142495927,5142495701,0.0,0.0,-0.001
5142499677,5142499446,0.0,0.0,-0.001
5142505927,5142505688,0.0,0.0,-0.001
5142509665,5142509434,0.0,0.0,-0.001
5142517152,5142516925,0.0,0.0,-0.001
5142520946,5142520672,0.0,0.0,-0.001
5142527142,5142526912,0.0,0.0,-0.001
5142530887,5142530657,0.0,0.0,-0.001
5142534632,5142534403,0.0,0.0,-0.001
5142543376,5142543142,0.0,0.0,-0.001
5142544624,5142544390,0.0,0.0,-0.001
5142553368,5142553129,0.0,0.0,-0.001
5142555862,5142555627,0.0,0.0,-0.001
5142563351,5142563119,0.0,0.0,-0.001
5142565847,5142565613,0.0,0.0,-0.001
5142569587,5142569359,0.0,0.0,-0.001
5142575837,5142575601,0.0,0.0,-0.001
5142579572,5142579347,0.0,0.0,-0.001
5142587069,5142586837,0.0,0.0,-0.001
5142590809,5142590582,0.0,0.0,-0.001
5142597059,5142596824,0.0,0.0,-0.001
5142600798,5142600570,0.0,0.0,-0.001
5142604551,5142604316,0.0,0.0,-0.001
5142610791,5142610557,0.0,0.0,-0.001
5142614551,5142614303,0.0,0.0,-0.001
5142623277,5142623042,0.0,0.0,-0.001
5142625777,5142625539,0.0,0.0,-0.001
5142633272,5142633030,0.0,0.0,-0.001
5142635752,5142635526,0.0,0.0,-0.001
5142639499,5142639272,0.0,0.0,-0.001
5142647002,5142646762,0.0,0.0,-0.001
5142649486,5142649259,0.0,0.0,-0.001
5142656993,5142656749,0.0,0.0,-0.001
5142660725,5142660495,0.0,0.0,-0.001
5142664501,5142664240,0.0,0.0,-0.001
5142670712,5142670482,0.0,0.0,-0.001
5142674466,5142674229,0.0,0.0,-0.001
5142683206,5142682975,0.0,0.0,-0.001
5142684463,5142684217,0.0,0.0,-0.001
5142693189,5142692954,0.0,0.0,-0.001
5142695679,5142695451,0.0,0.0,-0.001
5142703179,5142702942,0.0,0.0,-0.001
5142705670,5142705439,0.0,0.0,-0.001
5142709417,5142709184,0.0,0.0,-0.001
5142716911,5142716674,0.0,0.0,-0.001
5142719400,5142719171,0.0,0.0,-0.001
5142726896,5142726662,0.0,0.0,-0.001
5142730650,5142730408,0.0,0.0,-0.001
5142736881,5142736649,0.0,0.0,-0.001
5142740627,5142740395,0.0,0.0,-0.001
5142744372,5142744141,0.0,0.0,-0.001
5142753117,5142752879,0.0,0.0,-0.001
5142754363,5142754128,0.0,0.0,-0.001
5142763145,5142762867,0.0,0.0,-0.001
5142765592,5142765364,0.0,0.0,-0.001
5142773094,5142772854,0.0,0.0,-0.001
5142775586,5142775351,0.0,0.0,-0.001
5142779324,5142779096,0.0,0.0,-0.001
5142786817,5142786587,0.0,0.0,-0.001
5142789317,5142789084,0.0,0.0,-0.001
5142796801,5142796574,0.0,0.0,-0.001
5142800545,5142800320,0.0,0.0,-0.001
5142806795,5142806562,0.0,0.0,-0.001
5142810541,5142810307,0.0,0.0,-0.001
5142814308,5142814059,0.0,0.0,-0.001
5142823037,5142822793,0.0,0.0,-0.001
5142824279,5142824040,0.0,0.0,-0.001
5142833011,5142832779,0.0,0.0,-0.001
5142835511,5142835276,0.0,0.0,-0.001
5142843006,5142842767,0.0,0.0,-0.001
5142845493,5142845263,0.0,0.0,-0.001
5142849239,5142849009,0.0,0.0,-0.001
5142856745,5142856500,0.0,0.0,-0.001
5142860486,5142860245,0.0,0.0,-0.001
5142866717,5142866487,0.0,0.0,-0.001
5142870474,5142870234,0.0,0.0,-0.001
